alumno_id,materia_id,fecha,presente
55,M10,2024-06-21,1
21,M09,2024-09-15,0
5,M12,2025-04-22,1
76,M15,2024-11-08,0
19,M03,04/10/2025,1
52,M09,2025-04-20,1
42,M01,2024-07-19,1
61,M08,2027-10-14,0
12,M07,2024-05-11,1
52,M09,2024-08-09,1
52,M14,2099-07-02,1
64,M13,2025-11-05,1.0
63,M11,2024-05-10,0
12,M14,2099-02-21,SI
38,M05,2025-10-08,1
25,M09,09/04/2024,0
44,M09,2024-07-24,1
63,M08,2025-08-18,0
42,M12,2025-06-28,0
61,M13,2024-10-02,1
43,M14,15-11-2024,1
20,M13,2028-10-23,1
43,M14,2025-10-28,0
31,M15,2024-04-14,SI 
13,M12,2024-03-11,0
48,M04,2024-05-06,1
80,M08,2027-04-15,0
2,M08,2027-02-15,presente
55,M08,28-09-2024,1
74,M12,2025-07-01,0
7,M12,2025-06-20,si
80,M13,21/04/2024,0
57,M06,11/07/2024,0
17,M15,2028-03-09,1.0
38,M06,05/04/2025,0
51,M08,2025-03-09,0
34,M14,2025-04-22,1
72,M10,2024-10-23,1
18,M01,2025-04-04,1
50,M11,2099-10-24,0
13,M10,2025-03-23,1
31,M02,2028-09-21,1
25,M15,2024-03-02,0
17,M04,2024-06-27,NO
77,M14,2027-09-09,0
4,M06,01/08/2024,1
54,M12,2025-08-17,0
29,M01,21/10/2025,
52,M02,2025-04-03,1
17,M11,2025-09-20,0
78,M13,15/09/2024,NO
59,M12,2025-08-22,1
61,M14,2025-04-24,0
72,M09,2024-09-12,NO
7,M99,2024-11-07,1
14,M09,2025-06-26,1
80,M11,2025-03-06,1
44,M03,2025/04/05,-1
28,M08,2025-07-24,1
77,M01,2024-04-09,1
78,M05,2024-08-14,1
76,M11,2024-09-20,1
28,M13,2025-04-01,1
17,M12,2025-04-13,no
59,M14,2025-09-23,0
52,M06,2025-08-03,1
56,M09,2025-08-08,1
66,M09,2025-08-24,SI 
31,M05,2024-04-06,SI 
73,M08,2025-08-05,1
39,M10,2024-07-15,1
37,M14,2026-10-20,0
71,M02,2024-08-20,1
8,M13,2025/04/17,1
57,M10,2025-07-13,1
77,M11,2024-08-04,0
33,M11,2027-06-03,0
45,M11,2025-05-20,0
72,M13,2024-11-03,0
47,M05,2024-08-25,1
18,M05,2024/11/25,0
44,M10,2025-05-06,1
80,M03,12/09/2024,0
57,M13,18/06/2025,1
61,M04,2025-10-25,1
68,M03,02/07/2024,0
71,M12,2024/07/03,1
19,M02,2027-08-12,tal vez
65,M07,2028-04-01,1
43,M03,2025-05-25,0
1,M01,2024-11-24,0
37,M02,2025-10-03,1
77,M11,2024-05-10,1
31,M03,2024-11-12,1
65,M09,2025-10-02,0
33,M06,24/06/2025,0
75,M06,2025-11-11,si
60,m01,2024-04-23,0
38,M13,2024-08-10,0
70,M01,12/07/2024,no
43,M13,2025-10-13,1
64,M13,2024-09-03,1
24,M06,2025-07-10,1
22,M06,2025-09-09,0
8,M11,2024-03-05,sí
5,M04,13/08/2025,
58,M06,2024-05-17,1
36,M02,2024-10-17,1
34,M12,2025-10-07,1
58,M12,2024-08-22,1
70,M05,17-08-2024,2
64,M09,2025-11-05,0
40,M12,27/09/2025,0
41,M08,2025-05-27,0
24,M03,2024-04-17,1
42,M04,2025-04-09,1
36,M05,2024-11-21,1
20,M10,27/03/2025,no
74,M04,16/03/2025,NO
39,M13,15/07/2025,1
57,M08,2024-08-28,0
45,M05,08/08/2024,1
32,M01,2025-09-08,2
74,M04,15/11/2025,1
3,M07,2024-06-19,1
64,M14,2025-07-18,1
18,M12,2025-08-02,1
25,M05,2025-11-09,sí
16,M02,2025-11-12,0
66,M01,2024-08-26,1
78,M03,2025-05-13,NO_
76,M14,2025-07-16,SI
15,M09,2024-10-09,presente
7,M03,2025-05-27,0
15,M08,2024-09-23,1
79,M14,17-05-2024,1
68,M03,2025-11-12,0
34,M04,2028-09-10,1
39,M12,2025-08-16,1
36,M10,2025-09-27,1
19,M05,2026-06-15,0
28,M09,2025-05-04,0
32,M15,2024-03-04,1
13,M03,2024-09-21,1.0
26,M05,2024-04-21,0
5,M03,2024-03-27,1
38,M01,2024-08-10,1
68,M03,2025/07/07,1
33,M01,06/06/2025,0
52,M09,2025-04-06,1.0
32,M07,2025-08-10,0
34,M12,2024-10-10,1
40,M11,2028-06-20,1
62,M12,2028-07-23,0
69,M14,2024-04-17,1
10,M02,2024-11-05,1
57,M04,17/04/2025,1
17,M08,2025-07-24,1
1,M10,2025-08-23,1
9,m01,2025-05-25,1
54,M15,2025-09-03,0
70,M14,2024-11-13,0
29,M13,2025-10-22,0
49,M04,2024-07-07,NO_
5,M07,2024-06-07,1
58,M12,13-03-2024,0
8,M05,2025-08-08,1
67,M05,2024-09-18,1
,M13,2025-09-05,1
69,M14,2024-10-02,0
72,M07,2024-08-21,1
48,M12,2024/07/13,0
25,M10,07/10/2024,NO
2,M04,2026-12-25,1
78,M07,2028-05-13,1
40,M09,2025/04/26,1
27,M07,2024-05-01,1
75,M05,2025-06-13,0
71,M11,2025-10-15,1
22,M09,2024-11-02,si
7,M07,2024-04-23,1
59,M10,2025-10-01,1
2,M12,2025-03-17,sí
23,M02,2024-06-20,0
35,M02,2025-10-19,1
39,M14,2024-04-13,1
8,M12,2025-09-21,0
13,M15,2024-10-09,1
36,M10,2024-08-01,presente
51,M05,2024-09-22,NO
18,M12,04/03/2025,1
44,M10,2099-06-01,0
58,M06,2025-09-06,0
11,M05,09/04/2024,1
20,M06,2024-03-10,1
14,M03,2025-04-01,1
77,M06,14-07-2024,1
32,M03,2024-05-09,1
9,M05,2025-04-12,1
64,M04,2024-07-01,A
49,M06,2025-05-10,1
26,M03,2028-05-24,0
74,M06,2025-08-04,ausente
70,M13,2025-06-15,0
9,M13,21/05/2025,1
20,M13,2025-10-19,1
54,M13,2026-02-25,1
22,M01,2025-08-26,1
34,M12,2024-10-12,1
76,M03,2024-10-04,1
11,M12,2025-08-15,0
45,M08,03/08/2025,1
15,M06,2024-06-17,1
72,M08,2025-05-06,0
4,M15,2025-09-01,0
9,M13,11-08-2024,1
63,M11,2025-09-19,1
59,M14,2025-04-22,1
40,M06,2025-09-20,1
24,M09,2024-11-06,1
41,M10,2025-03-16,1
72,M08,2025-09-23,SI
73,M13,2024-07-08,0
59,M13,09/04/2024,0
47,M13,2025-11-07,-1
32,M01,2025-04-15,no
31,M12,2025-09-06,0
27,M10,2025-11-06,1
38,M14,2024-05-25,0
36,M03,05/06/2024,0
51,M10,2025-09-15,1
12,M12,2025-10-16,1
12,M08,2025-04-26,0
55,M08,2025-08-18,0
63,M15,2024-03-04,0
3,M14,2025-03-14,1
17,M05,2025-04-21,1
22,M11,2024-09-21,1
28,M03,2025-03-01,0
55,M08,2025-04-24,si
39,M13,03/05/2024,0
22,M12,2024-09-20,0
12,M03,14/08/2025,1
36,M04,2025-03-28,SI
78,M12,2024-06-16,1
77,M15,2028-06-05,1
54,M11,2025-04-01,0
28,M01,2099-09-10,0
54,M07,2024-07-03,1
27,M05,2025-04-10,0
31,M02,2026-08-20,0
23,M12,2024-05-16,null
34,M03,25/04/2025,NO
35,M05,15/10/2024,0
73,M03,2024-04-08,0
2,M08,2024-05-28,1
54,M04,2025-07-27,1
65,M01,2024-09-03,NO
40,M09,2025-06-10,0
80,M06,2025-06-24,no
53,M09,2024-08-01,0
40,M09,2099-08-02,2
12,M04,2025/08/15,1
18,M07,2024-09-22,ausente
41,M07,15/08/2025,1
26,M13,2024-04-06,1
16,M13,2025-10-09,si
39,M12,2024-08-05,1
46,M01,2025-05-01,1.0
71,M08,2024-04-01,1
29,M14,2024-07-27,1
26,M08,04/08/2024,1
22,M07,01-10-2025,1
24,M08,21-06-2024,1
8,M07,2024-11-08,0
3,M12,2025-08-19,0
24,M10,2025-03-26,null
75,M06,2024-07-18,sí
29,M13,2024-05-08,0
46,M01,19/05/2025,1.0
23,M02,2024-03-17,1
79,M03,2024-08-02,1
19,M14,2025-04-12,0
76,M05,2024-09-26,0
41,M09,2025-06-22,0
40,M05,2024-09-28,presente
78,M13,2027-11-19,1
43,M04,2025-05-21,no
43,M05,2024-08-09,0
7,M12,2024-09-16,NO
13,M13,15-05-2024,SI
34,M03,2025-05-24,1
12,M10,21-09-2024,no
43,M04,2025-07-10,1
74,M08,2025-03-14,1
77,M02,2024-07-03,1
51,M15,2024-11-13,1
48,M01,2025-07-08,sí
13,M06,18/06/2025,1
67,M09,2025-06-16,1
5,M15,2024-04-25,1
22,M07,2025-04-22,1
81,M10,2024-04-13,0
36,M15,14-04-2025,0
13,M10,12/11/2025,NO
63,M08,2025-09-05,0
52,M15,24-03-2024,1
44,M05,2025-04-28,1
57,M06,2025-04-07,1
53,M13,2025-03-17,0
65,M13,2024/05/07,1
5,M15,2024-07-12,sí
16,M04,2025-05-28,1
45,M15,2024-07-01,1
74,M04,2024/06/09,0
2,M03,2024-06-09,0
36,M07,07-07-2025,0
51,M01,2025-11-21,0
14,M06,2028-05-09,0
100,M03,2024-03-26,sí
41,M12,2025-07-09,NO
5,M10,22/06/2025,0
46,M14,2024-07-04,1
72,M03,2028-11-03,1
40,M15,2025-07-15,SI
75,M10,2024-11-04,NO
53,M14,2024-08-14,1.0
24,M08,2024-08-21,1
27,M03,2024-10-26,0
79,M07,2025-09-01,1
48,M11,22/03/2024,1
29,M06,2024-09-17,0
6,M05,2025-09-22,A
63,M04,2025-03-08,1
28,M10,2024-08-23,0
33,M10,2024-04-21,si
54,M02,2025-05-07,0
39,M02,2025-05-14,si
80,M02,20/06/2025,1
67,M12,02/05/2025,0
62,M01,2024-04-27,0
12,M02,21/07/2024,1
38,M01,2024-03-28,1
41,M02,2024-03-28,1
43,M08,2028-12-03,1
15,M08,2025-10-26,1
22,M12,14/04/2024,1.0
57,M07,16/05/2024,-1
57,M05,2024-11-25,0
29,M11,2024-09-22,0
50,M14,2024-03-21,null
64,M02,11/06/2025,
71,M07,15/10/2024,SI
64,M02,2026-02-13,1
1,M13,2025-11-18,1
44,M01,18/08/2025,0
47,M02,2024-03-11,1
38,M06,16/05/2024,1
53,M10,2024-09-07,1
44,M07,2024-10-15,0
18,M01,2024-11-14,SI
23,M03,13/04/2024,0
42,M07,2024-07-13,P
18,M10,28/11/2025,1
71,M04,2025-08-22,1
23,M12,2024-08-18,1
54,M15,26-09-2025,1
7,M04,2024-07-22,1
38,M09,2025-04-20,no
72,M09,13/03/2025,1
41,M02,2025-06-20,NO
48,M09,10/06/2024,1
10,M03,02/09/2024,1
17,M14,2025-10-23,
42,M13,2028-08-26,0
41,M03,2024-09-18,0
29,M11,2025-07-07,presente
72,M11,2025-10-08,no
42,M13,2099-05-18,0
67,M06,2025-10-02,1
42,M02,2024-04-07,0
55,M04,2025-04-24,0
43,M02,2025-11-03,0
34,M08,2025-08-01,1
1,M10,2024-04-12,-1
39,M05,13/09/2025,si
69,M12,2025-05-10,0
48,M01,2024-04-02,1
69,M02,2025-06-14,no
29,M05,2024-03-28,0
71,M09,2024-07-04,1
43,M11,2024-07-20,1
63,M10,2024-08-26,1
1,M13,2025-07-27,1
43,M08,2025-10-18,1
11,M14,2024/07/24,1
3,M11,2025-06-02,0
70,M13,2025-06-25,0
18,M09,2025-11-01,0
79,M13,2025-05-06,0
19,M08,2026-04-25,1
48,M11,2025-09-16,
42,M09,2025-07-19,0
49,M11,09-11-2024,NO
45,M08,05-11-2024,1
36,M03,2024-06-14,sí
62,M10,2025-03-08,1
21,M09,2024-03-06,1
52,M10,2025-04-07,1
62,M14,2024-05-20,0
44,M10,2024-09-13,1
67,M09,2024-04-06,1
5,M09,2024-04-16,0
70,M15,2099-09-14,1
68,M13,2025-08-19,sí
55,M08,20/07/2024,NO
1,M13,2024-11-01,1
41,M02,2025-07-28,0
79,M11,2024-09-18,0
48,M08,2025-08-25,0
16,M08,07/04/2024,0
71,M11,21/09/2024,1
19,M10,2024-07-08,1
50,M07,2025-03-25,sí
2,M11,2028-04-02,0
30,M11,2024-03-06,1
52,M07,2024-11-01,0
12,M12,27-08-2025,0
52,M05,2024-11-03,0
15,M05,2025/10/13,0
59,M15,2024-10-04,1
29,M04,17/08/2025,0
34,M02,2025-04-18,1.0
28,M05,2024-10-24,1
34,M04,25-05-2025,SI 
64,M13,2024/10/12,1
74,M08,2025-09-08,0
68,M08,2026-09-12,1
23,M02,2025-08-23,1
49,M06,2025-05-18,1
79,M03,2024-09-23,0
52,M03,2024-04-24,1
56,M04,2024-10-26,1
18,,2025-10-10,1
7,M12,2024-07-16,si
43,M06,2025-08-01,1
78,M10,2024-07-12,1
58,M07,2025-05-28,1
44,M10,2024-04-06,1
38,M10,2025-10-25,NO
67,M14,2024-05-24,1
11,M07,2024-10-18,1
68,M02,2024-04-21,tal vez
32,M08,2024-11-27,1
46,M06,2025/11/09,1
70,M10,2025-11-21,0
45,M04,12/07/2025,1
2,M14,10/08/2024,1
63,M08,2025-07-20,1
48,M15,2025-06-06,0
49,M02,2024-11-25,0
35,M12,2025-09-07,si
15,M10,2025-06-11,1
69,M02,2024-10-24,1
2,M06,2025-08-15,0
11,M03,2025-04-18,1
33,M14,2024-09-25,ausente
5,M12,13/10/2024,0
42,M12,2024-07-16,0
7,M04,2027-11-14,1
36,M07,19/03/2024,0
77,M13,2024-10-03,0
8,M11,2024-05-16,1
,M13,23-03-2024,0
6,M08,2025-06-19,1
60,M14,2024-04-17,1
34,M08,2025-05-01,0
80,M12,2025-06-17,0
20,M06,2025-04-04,0
17,M01,2025-06-04,1
50,M09,2025-03-12,1
2,M04,2024-10-26,0
54,M13,02/11/2025,0
10,M09,2024-11-13,1
32,M03,2025-04-25,0
59,M07,18-05-2024,1
77,M06,2028-06-14,0
42,M10,2025-11-24,1
58,M01,17/03/2025,1
1,M04,2025-03-25,sí
71,M10,2027-02-02,1
34,M10,2025-07-03,0
28,M12,2025-05-16,sí
13,M05,2025-04-25,1
45,M07,2024-06-24,0
2,M11,2025-11-02,1
42,M04,2025-10-25,0
29,M13,2024-08-03,1
71,M02,2025-05-25,1
63,M10,2024-06-03,1
74,M11,2025-08-07,1
4,M03,2099-10-05,1
30,M06,2024-04-24,1
19,M14,2025-04-10,1
27,M04,2025-11-16,0
3,M15,2024-07-06,1
80,M08,2024-04-13,0
47,M01,2025-06-13,0
41,M10,2024-06-17,null
3,M15,2025-10-13,0
46,M05,2025-03-21,1
4,M05,2025-09-22,1
67,M99,2024/09/08,1
78,M09,2024-11-22,si
68,M07,2027-11-19,A
69,M02,2024-03-25,1
53,M12,2028-03-25,1
4,M10,2024-06-08,0
62,M14,2025-05-28,1
21,M01,2024-07-14,1
26,M02,2025-10-23,1
32,M13,2025-08-13,0
77,M11,04-11-2024,si
32,M07,2026-09-13,0
7,M08,2025-07-15,1
7,M15,2025-04-24,0
75,M12,2025-09-11,1
76,M15,2025-04-09,1
21,M02,2025-08-03,0
66,M03,2025-03-25,1
20,M03,2024-09-10,1
58,M03,2024-06-01,0
59,M08,2024-10-08,1
59,M02,2024-06-18,1
27,M03,2025-03-05,sí
78,M15,2024-09-06,1
77,M09,2025-08-02,1
48,M14,2025-11-03,1
36,M07,2024-03-04,0
68,m01,20/09/2025,SI
80,M03,2025-11-24,0
24,M04,04/03/2024,1
16,M04,02/09/2025,1
28,M04,2025-04-10,1
1,M06,2024-05-07,1
62,M13,2024-10-05,0
69,M08,27/03/2025,0
41,M01,2025-08-03,P
44,,2024-09-06,0
40,M06,03/09/2025,1
58,M05,2025-05-04,1
26,M08,2025-11-05,1
68,M06,2024-11-22,ausente
59,M14,2024-07-02,0
12,M15,2025-03-19,0
27,M04,2025-10-22,1
36,M10,2024-06-18,1
19,M13,2024-05-03,1
70,M03,2024-04-13,1
23,M15,2025-08-10,1
69,M15,03/05/2025,sí
59,M11,08/10/2025,2
79,M06,2025-08-15,1
15,M08,2025/08/20,0
14,M11,2025-11-15,1
80,M03,2099-02-11,1
56,M07,2025-11-23,1
10,M12,2025-04-19,0
13,M03,2025-04-20,1
49,M11,2024-06-27,1
1,M11,2025-09-20,0
41,M13,2028-07-23,A
75,M09,2024-07-02,1
7,M09,28-04-2025,1
76,M06,14/09/2025,0
61,M09,2025-09-05,1
17,M02,2024-10-22,1
11,M13,2025-09-20,1
71,M07,2024-09-20,1
31,M05,2025-03-02,0
15,M12,2025-10-17,1
12,M11,26/11/2024,0
44,M01,2025-08-14,1
38,M01,2025-07-02,0
74,M05,16/07/2024,1
36,M10,2025-03-24,1
76,M11,2024-07-26,0
68,M06,2027-10-27,1
53,M04,2024-06-19,0
34,M02,2025-09-16,1
69,M11,05/07/2025,0
37,M08,2025-11-22,-1
46,M14,2025-08-09,1
75,M13,2024-06-17,1
24,M01,2024-03-14,1
58,M12,2024-03-01,0
77,M14,2024-04-03,si
73,M03,10-07-2024,SI 
36,M12,2028-05-06,0
8,M06,2028-05-06,1
26,M03,2024-05-18,0
14,M12,2024-04-03,0
58,M08,2024-03-22,1
43,M10,2025-10-14,1
9,M01,2025-04-19,0
43,M07,2024-08-18,SI
59,M05,2024-11-02,SI 
50,M11,2025-04-21,1
5,M12,2027-08-13,1
40,M14,11/03/2024,1
6,M04,05/11/2025,0
10,M03,2024-10-20,1
17,M11,2025-04-15,0
9,M02,2024-04-26,1
52,M11,2024-08-27,ausente
76,M02,2024-09-06,0
57,M10,2024-09-25,1
11,M03,2028-07-23,SI
27,M05,2025-06-06,0
24,M10,2028-06-14,1
16,M04,2024-10-25,0
7,M13,2025-10-06,1
7,M05,2025-08-20,SI
7,M03,2024-10-17,1
57,M06,2025-06-25,1
31,M14,2024-04-16,0
56,M15,2024-09-12,1
46,M07,2024-03-09,1
59,M13,2025-05-26,0
22,M09,2024/09/28,no
60,M12,2024-06-11,1
76,M15,2024-09-02,1
65,M09,2024-10-16,1
2,M07,2027-06-10,1
3,M05,2025-03-15,1
52,M14,2025-03-28,0
43,M05,2025-11-19,0
11,M06,22/11/2024,1
50,M10,2025-05-21,0
27,M06,2024-10-24,presente
27,M13,2025-07-17,0
9,M08,2024-10-23,0
38,M06,15/06/2024,1
23,M02,2025-04-23,1
27,M11,2025-11-05,1
3,M02,2024-11-21,1
42,M11,2025-10-10,0
40,M05,2025-07-25,si
59,M99,2028-03-06,sí
20,M02,2025-05-15,1
72,M11,2025-05-12,1
69,M15,2025-05-15,2
70,M11,2025-10-10,presente
73,M15,2024-10-02,1
40,M10,03-08-2025,0
68,M15,03/03/2024,0
16,M04,2025-05-28,1
40,M06,03/09/2025,1
28,M04,2025-04-10,1
54,M10,2025-06-22,0
42,M02,2024-04-07,0
80,M06,2025-06-24,no
14,M09,2025-06-26,1
53,M10,2024-09-07,1
59,M10,2025-10-01,1
,M13,23-03-2024,0
60,M14,2024-04-17,1
67,M06,2025-10-02,1
17,M06,2024-03-04,1
36,M07,2024-03-04,0
32,M01,2025-04-15,no
18,M07,2024-09-22,ausente
61,M08,2027-10-14,0
34,M02,2025-09-16,1
43,M04,2025-07-10,1
63,M15,2024-03-04,0
23,M12,2024-05-16,null
22,M11,2024-09-21,1
4,M03,2024-03-04,si
68,M03,2025/07/07,1
76,M03,2024-10-04,1
9,M13,11-08-2024,1
48,M12,2024/07/13,0
16,M04,2025-05-28,1
59,M15,2024-10-04,1
54,M10,2025-06-22,0
33,M11,2027-06-03,0
14,M12,2024-04-03,0
65,M13,2024/05/07,1
76,M02,2024-09-06,0
79,M03,2024-08-02,1
